Total number of medals won in the Summer Olympics per country and by color 1896-2024;;;
All-time medal count at the Summer Olympics from 1896 to 2024, by country and color;;;
;Bronze;Silver;Gold
United States;780;880;1.101
Combined Russian total (Russian Empire, Soviet Union & Russian Federation);504;514;609
Combined German total (Germany, East Germany & West Germany);498;468;450
Soviet Union* **;325;357;440
Great Britain;344;337;299
France;296;279;238
Germany***;290;272;241
China;197;226;302
Italy;228;201;228
Australia****;228;193;185
Hungary;182;161;187
Sweden;182;180;152
East Germany*;178;150;169
Japan;166;137;168
Russia;127;129;153
Canada;158;116;80
Netherlands;134;105;105
Romania;124;108;98
South Korea;110;100;109
Poland;142;93;73
Finland;119;85;101
Cuba;91;72;87
Bulgaria;85;89;57
Denmark;84;80;50
Norway;84;68;60
Czechoslovakia*;73;79;53
Spain;56;76;53
Belgium;64;55;46
New Zealand****;48;56;59
Ukraine;75;47;40
West Germany*;49;51;60
Brazil;78;43;38
Switzerland;58;35;55
Greece;47;45;36
Kenya;41;44;39
Turkey;42;29;41
North Korea;45;36;19
South Africa;31;36;28
Jamaica;27;39;27
Croatia;45;32;15
Yugoslavia*;31;31;28
Iran;33;32;24
Ethiopia;29;26;25
Austria;26;28;22
Mexico;37;24;15
Kazakhstan;30;24;20
Slovakia;37;24;13
Argentina;24;13;24
Czechia;24;16;19
Slovenia;28;15;9
Thailand;20;15;11
Azerbaijan;18;16;10
Ireland;17;10;15
Georgia;17;12;13
India;22;10;10
Uzbekistan;14;11;16
Belarus;14;13;14
Egypt;20;12;9
Indonesia;21;6;12
Portugal;16;15;6
Bahamas;18;11;7
Mixed Teams*;17;8;10
Bahrain;18;12;4
Chinese Taipei (Taiwan);18;7;8
Estonia;8;14;10
Tunisia;15;10;6
Colombia;13;8;7
Algeria;12;7;8
Zimbabwe;13;11;3
Serbia;7;12;7
Dominican Republic;13;5;4
Lithuania;6;7;8
Pakistan;9;7;4
Morocco;7;2;9
Russian Empire*;8;8;2
Latvia;8;4;5
Tajikistan;11;5;1
Nigeria;7;3;5
Peru;5;7;2
Venezuela;9;1;3
Iceland;5;8;0
Chile;4;4;4
Cameroon;4;5;3
Hong Kong;5;4;3
Puerto Rico;8;2;2
Trinidad and Tobago;3;4;4
Israel;1;7;3
Singapore;7;2;2
Ecuador;5;3;2
Armenia;1;5;3
Mongolia;1;5;3
Vietnam;4;3;2
Uganda;2;2;4
Independent Olympic Athletes;5;1;2
Kyrgyzstan;4;4;0
Serbia and Montenegro*;4;3;0
Philippines;3;0;3
Grenada;4;1;1
Moldova;4;1;1
Sri Lanka;4;2;0
Burundi;2;2;1
Ivory Coast;1;3;1
Kosovo;3;1;1
Panama;2;2;1
Haiti;4;1;0
Lebanon;0;5;0
Qatar;3;2;0
Botswana;1;2;1
Guatemala;2;1;1
Luxembourg;2;1;1
Malaysia;3;0;1
Mozambique;2;1;1
Syria;0;3;1
Bohemia*;2;2;0
Niger;3;1;0
Tanzania;2;2;0
Zambia;3;1;0
Uruguay;0;0;3
Costa Rica;1;0;2
Fiji;0;2;1
Jordan;0;2;1
Suriname;1;1;1
United Arab Emirates;1;1;1
Cyprus;1;2;0
Djibouti;3;0;0
Namibia;1;0;1
Saint Lucia;0;1;1
Albania;2;0;0
Eritrea;2;0;0
Gabon;1;1;0
Ghana;0;2;0
Guyana;2;0;0
Montenegro;1;1;0
Saudi Arabia;0;2;0
Dominica;0;0;1
Afghanistan;0;1;0
Barbados;0;1;0
Bermuda;0;1;0
British West Indies*;0;1;0
Burkina Faso;1;0;0
Cabo Verde;1;0;0
Iraq;1;0;0
Kuwait;0;1;0
Mauritius;1;0;0
Netherlands Antilles*;0;1;0
North Macedonia;1;0;0
Paraguay;0;1;0
Refugee Olympic Team;1;0;0
Russian Olympic Committee;1;0;0
Samoa;0;1;0
San Marino;1;0;0
Senegal;0;1;0
Sudan;0;1;0
Togo;1;0;0
Tonga;0;1;0
Turkmenistan;1;0;0
Virgin Islands;0;1;0
